"edad" "desplazado_municipio" "anios_viviendo_municipio" "razon_desplazamiento" "padre_vive_hogar" "satisfecho" "ingreso_economico" "salud" "nivel_seguridad" "trabajo" "feliz" "tranquilidad" "vale_vivir" "ninos" "hogares_completos"
"2" 71 "1" 71 "0" "3" 10 9 10 8 8 8 10 8 2 1
"3" 64 "1" 64 "0" "3" 8 8 8 10 9 10 7 8 1 1
"4" 52 "1" 52 "0" "3" 9 8 9 7 9 8 6 10 1 1
"5" 36 "1" 36 "0" "2" 7 5 8 5 0 7 7 7 3 1
"6" 57 "1" 57 "0" "3" 9 7 8 5 8 9 9 10 2 2
"7" 57 "1" 57 "0" "3" 9 7 8 5 8 9 9 10 2 2
"8" 57 "1" 57 "0" "3" 9 7 8 5 8 9 9 10 2 2
"9" 57 "1" 57 "0" "3" 9 7 8 5 8 9 9 10 2 2
"11" 40 "2" 2 "8" "2" 8 6 7 6 8 7 7 10 1 1
"12" 59 "2" 2 "3" "3" 8 5 6 8 8 10 9 10 1 1
"13" 77 "1" 77 "0" "3" 7 3 5 6 6 6 7 7 1 1
"14" 57 "1" 57 "0" "3" 10 6 0 10 0 5 4 1 1 1
"15" 54 "1" 54 "0" "3" 5 9 2 5 0 7 9 10 3 1
"17" 26 "1" 26 "0" "2" 10 6 9 9 10 10 10 10 2 1
"19" 48 "1" 48 "0" "3" 10 9 10 10 0 10 10 10 1 1
"20" 61 "2" 2 "9" "3" 7 6 9 8 7 8 8 6 2 1
"21" 32 "2" 2 "1" "2" 7 5 9 9 4 9 9 10 2 1
"22" 56 "1" 56 "0" "3" 10 10 10 10 10 9 9 10 1 1
"23" 32 "1" 32 "0" "2" 10 10 5 7 7 4 7 10 1 1
"24" 55 "1" 55 "0" "3" 10 10 10 10 10 9 9 10 2 1
"25" 53 "1" 53 "0" "2" 8 5 10 10 8 8 10 10 1 1
"26" 47 "1" 47 "0" "2" 10 10 10 10 10 10 10 10 2 1
"27" 61 "1" 61 "0" "3" 10 10 10 10 10 10 10 10 2 1
"28" 36 "1" 36 "0" "2" 3 4 4 5 5 1 0 4 2 1
"29" 39 "1" 39 "0" "2" 9 9 9 9 9 9 9 10 2 1
"30" 34 "2" 2 "3" "3" 9 9 9 9 8 9 9 9 3 1
"31" 72 "1" 72 "0" "2" 10 10 10 10 10 10 10 10 2 1
"32" 36 "1" 36 "0" "2" 9 9 9 9 9 9 9 9 2 1
"33" 66 "2" 2 "3" "3" 9 9 7 9 9 9 9 8 1 1
"34" 38 "1" 38 "0" "3" 10 9 10 8 10 10 10 9 4 1
"35" 51 "1" 51 "0" "3" 5 0 4 0 5 10 6 10 3 1
"36" 52 "1" 52 "0" "3" 8 9 3 7 3 9 10 8 2 1
"37" 47 "1" 47 "0" "2" 6 7 6 7 8 10 8 10 2 1
"38" 85 "1" 85 "0" "3" 8 8 8 7 7 9 7 7 1 1
"39" 37 "1" 37 "0" "2" 5 0 10 10 0 5 8 10 2 1
"40" 52 "1" 52 "0" "3" 10 9 10 10 10 10 10 10 3 1
"41" 66 "1" 66 "0" "2" 10 0 5 6 4 9 9 9 1 1
"42" 62 "1" 62 "0" "3" 10 7 10 10 7 8 8 10 1 1
"43" 41 "1" 41 "0" "3" 8 3 6 8 8 7 9 9 3 1
"44" 62 "1" 62 "0" "3" 8 6 7 8 6 8 8 8 3 1
"45" 85 "1" 85 "0" "3" 7 6 8 7 7 8 7 8 1 1
"46" 53 "1" 53 "0" "3" 7 8 8 7 6 7 6 7 2 1
"47" 60 "1" 60 "0" "3" 7 8 7 6 6 6 7 7 1 1
"48" 76 "1" 76 "0" "3" 8 2 8 9 2 7 7 8 1 1
"49" 43 "1" 43 "0" "2" 7 7 7 6 8 7 6 8 1 1
"50" 33 "2" 2 "8" "3" 8 0 10 0 8 9 7 8 1 1
"51" 29 "1" 29 "0" "2" 8 7 9 7 6 8 8 9 1 1
"52" 24 "1" 24 "0" "2" 7 6 8 6 8 8 8 9 1 1
"53" 32 "2" 2 "9" "3" 7 7 7 8 10 4 4 8 4 2
"54" 32 "2" 2 "9" "3" 7 7 7 8 10 4 4 8 4 2
"55" 32 "2" 2 "9" "3" 7 7 7 8 10 4 4 8 4 2
"56" 32 "2" 2 "9" "3" 7 7 7 8 10 4 4 8 4 2
"57" 62 "2" 2 "9" "3" 8 5 6 10 3 6 7 9 1 1
"58" 73 "1" 73 "0" "3" 10 10 5 10 0 10 10 10 1 1
"59" 22 "2" 2 "9" "2" 5 0 7 6 6 5 6 5 1 1
"60" 29 "1" 29 "0" "2" 5 0 10 10 6 0 2 10 3 1
"61" 43 "1" 43 "0" "3" 5 9 10 10 0 8 6 10 1 1
"62" 54 "1" 54 "0" "3" 10 10 10 10 10 10 10 10 1 1
"63" 56 "2" 2 "9" "3" 8 5 6 7 5 8 8 9 2 1
"64" 57 "1" 57 "0" "3" 10 10 10 7 10 10 10 10 1 1
"65" 64 "2" 2 "7" "3" 5 9 8 10 8 9 10 10 1 1
"66" 63 "2" 2 "7" "3" 10 9 5 10 2 9 9 10 1 1
"67" 53 "2" 2 "3" "3" 10 8 10 10 10 10 10 10 4 1
"68" 47 "1" 47 "0" "3" 10 6 10 8 10 7 8 9 3 1
"69" 41 "2" 2 "8" "3" 5 5 10 10 10 10 10 10 2 2
"70" 41 "2" 2 "8" "3" 5 5 10 10 10 10 10 10 2 2
"71" 41 "2" 2 "8" "3" 5 5 10 10 10 10 10 10 2 2
"72" 41 "2" 2 "8" "3" 5 5 10 10 10 10 10 10 2 2
"73" 30 "2" 2 "1" "2" 7 4 8 5 8 7 6 10 1 1
"74" 33 "1" 33 "0" "2" 8 7 10 6 5 10 7 10 1 1
"75" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
